COD_UNIDADE;DESCRICAO;COD_IBGE
PC;PECA (PC) ;0
XX;EXTRA GRANDE;0
LT;LITRO;43
BL;BAMBONA;99
AM;AMARRADO;61
CA;CARTELA;29
CJ;CONJUNTO;13
CT;CENTO;9
CX;CAIXA;56
DZ;DUZIA;16
FD;FARDO;57
FL;FOLHA;99
GA;GARRAFA;47
GF;GARRAFAO;99
GR;GRAMA;22
JG;JOGO;14
KG;KILOGRAMA;23
LA;LATA;59
BD;BALDE;99
LO;LATAO;99
M2;METRO QUADRADO;32
M3;METRO CUBICO;33
ML;METRO LINEAR;31
LC;LANCE;0
TO;TONELADA KILOS;0
PR;PAR;15
PT;PACOTE;65
CE;CARRETEL;0
M1;METRO;31
SD;SALDO;1
SC;SACO;53
TB;TAMBOR;75
MI;MILHEIRO;0
UN;UNIDADE;0
BS;BISNAGA;58
CH;CHAPA;9
EG;ENGRADADO;99
EL;ELOS;99
FC;FRASCO;27
GE;GRADE;99
GL;GALAO;49
RE;RESMA;20
RL;ROLO;60
SF;SOFT;99
PE;PE';0
PL;PALLET;0
KM;QUILOMETRO;99
MW;MEGAWATT;0
CP;CAMADA DE PALLET;0
IN;INNER;0
EB;EMBALAGEM ESPECIAL;
