NIVEL_1,1,2,3,4,5,6,7,8,9,10,11,12
D - ELETROS,21293709.056918025,14952444.097988166,18846098.14848059,15461917.626792789,15069374.844122734,11505035.877687486,13696594.905203134,12068345.074423488,12259291.399469312,19664248.265122283,29262164.45959682,13491325.454634268
C - PISOS E REVESTIMENTOS,4829650.8367800005,4413488.217891136,4758838.78638,5540444.352898,5160177.47826,4190485.4046825003,5002880.6866500005,5022979.487655,4225780.9675725,4241342.7966,4485027.401295,2772565.04931
R - ELETRONICOS,2996112.9476543004,3770551.5898875003,5050898.582678322,4900762.805856522,6369221.666723731,3824346.857456551,3459160.788748534,3843741.380806753,2621208.714498927,2037577.0437909092,6118844.32791568,2876351.606167308
I - ILUMINACAO,2275206.1959621212,1915775.193523718,1884322.4154,1902789.2089182711,2167008.824449534,1984802.6057516318,2200527.3293924243,2113014.9925491977,1982715.9960682504,2256954.648805286,2679402.3473634557,1960899.0822109703
"K - CAMA, MESA E BANHO",2416979.535784091,1650060.66285,1742362.5425719698,1925732.51993125,2178649.7729202737,1825426.3847618008,1987836.650610956,1671249.0609886365,1403402.6817684937,1726656.6958750002,2597594.9477750002,2086330.72175
O - MOVEIS,2416024.59875,1969378.0155,2154714.49725,2173253.5585833336,2244792.6890000002,1930661.181,2243197.278,1816244.8955,1465863.89075,1418433.0107500001,1682638.5771,1207690.40875
B - UTILIDADES DOMESTICAS,2617848.9835541076,1814264.7437500001,1606866.6631102941,1738972.494875,2231461.83575,1749870.3248178002,1719870.3063929488,1659171.514875,1489132.8391513159,1766481.9568770055,2199631.8390883496,1920240.4814577652
U - METAIS E ACESSORIOS,2153498.9529015715,2020715.797194697,2040487.781346798,1852198.443258034,1928591.8323863726,1984504.7986551956,1942646.1698560608,1492190.7510833333,1229950.2196666668,1097913.3400804196,1429407.23425,1189291.398162471
S - TINTAS E QUIMICOS,1657451.6216050854,1271069.9254093212,1108136.749427512,1902755.5250976388,2338401.2613587896,1500297.170364144,1191459.1556783195,1594598.8344762407,1884976.051363093,2280276.681779344,1356272.4380838498,813735.833325
E - MATERIAIS ELETRICOS,993868.7735053604,1006688.953119162,1002601.5449253398,1058575.2433147635,1279375.6870135423,1054708.2923841013,1059850.4180358464,986140.9508173733,640917.6517043206,867054.0425443067,742774.4408100628,639842.3247877611
