CODIGO,DESCRICAO,NIVEL_1,qtd_vendida,receita,qtd_transacoes,lojas_distintas
467774,COND.SPLIT 9000 COND.S3UQ09 INV. 143,D - ELETROS,7358.0,12492627.121930923,877,11
467770,COND.SPLIT 9000 COND.S3UQ09 INV. 141,D - ELETROS,5913.0,9956997.147169793,786,11
432048,MASSA CORRIDA PVA CORAL PLS     25KG,S - TINTAS E QUIMICOS,145797.0,9903877.893793339,5596,9
470176,LAV.ROUPA 13.0KG BWK13AB     BR M220,D - ELETROS,4181.0,8685360.032913849,804,10
454103,REFRIG. 2P 386L FF CRM44ABB  BR M220,D - ELETROS,2271.0,7017098.304546934,675,9
467773,COND.SPLIT 9000 EVAP.S3NQ09 INV. 143,D - ELETROS,7359.0,6160594.002878313,878,11
442061,TV LED 43 FHD SMT        43LM6370PSB,R - ELETRONICOS,3225.0,6150607.089360335,1078,11
457797,COND.JANEL  7000  REM  D6NRND1A M220,D - ELETROS,2767.0,5447492.98975,1203,10
481697,TV LED 55 UHD SMT 4K   UN55DU7700GXZ,R - ELETRONICOS,1932.0,5359282.083857965,728,11
467769,COND.SPLIT 9000 EVAP.S3NQ09 INV. 141,D - ELETROS,5913.0,5274700.99269592,786,11
447307,VENT.MES.40CM 3V 2X1    VF42 PT M220,D - ELETROS,19804.0,4970896.927239529,2358,11
467736,COND.SPLIT 12000 COND+EVAP.  ACST12F,D - ELETROS,2093.0,4769688.664361632,424,11
481978,COND.SPLIT COND 12000 HIQE12 INV.202,D - ELETROS,3087.0,4667213.152091841,360,11
487782,TV LED 50 UHD SMT 4K     50UT8050PSA,R - ELETRONICOS,1842.0,4655667.302192308,816,11
466938,TV LED 50 UHD SMT 4K     50UR8750PSA,R - ELETRONICOS,1801.0,4332745.309909371,376,11
481696,TV LED 50 UHD SMT 4K   UN50DU7700GXZ,R - ELETRONICOS,1720.0,4240884.91955,617,11
448186,TV LED 32 HD SMT      UN32T4300AGXZD,R - ELETRONICOS,3261.0,4135259.912225882,1420,11
457804,COND.JANEL  10000 REM  D6NRND2A M220,D - ELETROS,1483.0,3747557.2785,614,10
452083,LAV.ROUPA 12.0KG CWH12BBB    BR M220,D - ELETROS,1868.0,3495064.438595652,444,10
466940,TV LED 65 UHD SMT 4K     65UR8750PSA,R - ELETRONICOS,893.0,3156700.073606061,267,11
