ANO_MES,receita,qtd_vendida
2024-01,26376144.383400485,238814.71
2024-02,20436770.92506083,208695.2
2024-03,26521580.98790178,234421.08
2024-04,26361001.34223199,261665.58
2024-05,27920751.477836926,273912.2
2024-06,23458624.225744173,253967.32
2024-07,24391815.45337947,251540.79
2024-08,24180911.19069033,250530.78
2024-09,24005812.925481487,207377.5
2024-10,32360836.74750009,296140.05
2024-11,47209722.925026126,338043.81
2024-12,27634978.905802276,251891.82
2025-01,20916014.084014177,208191.72
2025-02,17731493.01555287,191868.35
2025-03,17169905.232769046,160287.93
2025-04,15787817.576293614,160034.41
2025-05,16490443.183148053,194437.44
2025-06,10934170.32631704,126363.78
2025-07,13182203.861861829,129417.08
2025-08,10912405.912484692,111570.68
2025-09,7763795.171031392,95780.35
2025-10,8191149.503574464,82195.47
2025-11,8677567.858918756,69737.96
2025-12,3899830.899821447,44997.6
