NIVEL_1,receita,qtd_vendida,qtd_produtos,pct_receita
D - ELETROS,197570549.2104391,194585.0,286,40.95
C - PISOS E REVESTIMENTOS,54643661.46597414,779089.61,325,11.32
R - ELETRONICOS,47868778.312185034,19821.0,28,9.92
I - ILUMINACAO,25323418.840394862,556375.0,213,5.25
"K - CAMA, MESA E BANHO",23212282.177587472,440229.0,358,4.81
O - MOVEIS,22722892.600933336,70744.0,193,4.71
B - UTILIDADES DOMESTICAS,22513813.983699586,721870.0,529,4.67
U - METAIS E ACESSORIOS,20361396.71884162,275018.0,142,4.22
S - TINTAS E QUIMICOS,18899431.24796834,216422.0,65,3.92
E - MATERIAIS ELETRICOS,11332398.32296194,1054619.0,111,2.35
V - DECORACAO,7907238.679841259,103941.0,127,1.64
F - FERRAMENTAS,7107013.03525,15320.0,21,1.47
N - INDUSTRIAL E NEGOCIOS,5522517.854,16112.0,72,1.14
"G - PORTAS, JANELAS E FECHADURAS",5242924.637250001,31977.0,39,1.09
W - LOUCAS E PIAS,4733143.4605,13094.0,90,0.98
M - MAQUINAS E MOTORES,3623899.0095,2631.0,21,0.75
A - AUTOMOTIVO,1337411.03225,23650.0,19,0.28
"L - INFANTIL, LAZER E PETS",827989.295,11707.0,27,0.17
Q - BASICOS CONSTRUCAO,758460.57175,52730.0,22,0.16
H - TUBOS E CONEXOES,499932.13200000004,19428.0,26,0.1
T - ARTIGOS DE EPOCA,221035.11601666667,12096.0,6,0.05
J - JARDINAGEM,199296.71300000002,4772.0,7,0.04
Y - EPI,86263.6985,5653.0,2,0.02
